DB Operation,Module,Source Location,Description,IN,OUT,Procedure Name,Procedure call,Status,Implemented
Create a device in Device table,utilities,sns-helper.js/storeEndpintArn:147,Store a device if  there is no existing device item in DB,"token, endpoint_arn, platform, user_id, user_type",void,usp_create_device,"call usp_create_device('dxkjngh134','Endpointam',1,1);",Done,
Create the user record in Users table,handlers,handler.js/postConfirmation:213,"Migrate the user from User Pool to DB, 
it means we create user record into our DB from the info
registered in Cognito User Pool","id, email, first_name, last_name, phone, zip, type",void,usp_insert_users,"call `usp_insert_users`('ravi','ravi@test.com','firstname','lastname',8,'9959999999','42086');",Done,
Delete a job from Job table,handlers,job.js/deleteItem,Delete a job from Job table,"id, is_hard",void,usp_delete_job,call usp_delete_job(1);,Done,
Delete video from Video table,handlers,application.js/deleteItem:59,"Hard delete or soft delete video from Video table, 
In the soft delete case, we just update the attribute ""deleted""
as true, and we should those records some time later
(for example, 1month later) permanently",id,void,usp_delete_video,call usp_delete_video(1);,Done,
Fetch job details associated with specified job id,handlers,fetch-job.js/handler:25,Fetch job associated with specified job id from Job table,id,"id, title, description, duration, 
number_of_positions, compensation, 
career_experience, zip, latitude, longitude, 
location, selling, to_whom",usp_get_job,call usp_get_job(1);,Done,
Get a device by token of a specific user,utilities,push-helper.js/getEndpointArn:48,Get a device associated with a specific token of the user,"user_id, token",*,usp_get_device,"call usp_get_device(1,'efadsf3rq32');",Done,
Get all devices of a specific user,utilities,push-helper.js/send:87,Get all devices of a specific user,id,*,usp_get_devices,call usp_get_devices(1);,Done,
Get applications of a specific user,iot,"notify-presence.js/handler:101,
notify-presence.js/handler:140",Get all applications of a specific user,id,*,usp_get_applications,call usp_get_applications(1);,Done,
Get invitation id of user from Invitation table,handlers,handler.js/postConfirmation:175,Get id of invitation record for this user from Invitation table,email,id,usp_get_invitaion,call usp_get_invitation('ravi@gmail.com');,Done,
"Get more questions of specific application
from Video table",handlers,application.js/getMoreQuestions:40,"There are multiple type of videos in our system.
We are storing more questions for the applications as video.
Here, we will get all more questions related with a specific
application","candidate_id, job_id, type",*,usp_get_more_questions,"call usp_get_more_questions(1,1,1);",Done,
Get user info from Users table,handlers,email.js/verify:38,Get specified user from Users table to get confirmation code,id,id,usp_get_user,call usp_get_user(1);,Done,
Register an invitation in Invitation table,handlers,invitation.js/register:43,Register an invitation into Invitation table,"id, email, job_id",void,usp_insert_invitation,"call usp_insert_invitation(1,'ravi@gmail.com',1);",Done,
Save confirm code in DB table,handlers,handler.js/sendEmail:54,Save confirmation code in Users table,token,void,usp_save_token,"call usp_save_token(1,'x34fztdtad509jkdfa09w');",Done,
Update a device in Device table,utilities,sns-helper.js/storeEndpointArn: 120,Update a device,"id, endpoint_arn",void,usp_update_device,"call usp_update_device(3,'EndpointAM1');",Done,
Update application in Application table,handlers,video.js/deleteApplications:119,"We will call this to soft delete a referring application 
record of application video (in a word, this is trigger action
upon application video deletion in order to do cascade 
delete all referring applications, so I guess it might be
implemented by MySQL trigger)","candidate_id, job_id, deleted, profile_video_id",void,usp_update_application,"call usp_update_application(1,1,1,1);",Done,
Update invitation record for this user,handlers,handler.js/postConfirmation:242,"Update invitation record for this user, we put candidate's id
into its invitation record (origin invitation record had no 
id field)",id,void,usp_update_invitation,"call usp_update_invitation(1,1);",Done,
Update job in Job table,handlers,location.js/handler:52,"We update the job record with latitude, longitude 
and location info","id, latitude, longitude, location",void,usp_update_job,"call usp_update_job(1,1244.3,23324.6,'NYC');",Done,
